Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Fisher P adjusted value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
RPL36,0.022877,0.0070131,0.0015622875649496924,0.023688639356911616,0.779,1.0959,0.9374500000000001,1.9151401865459314,2,3
FDXR,0.0027333,0.0015486,5.660359579685258e-5,0.0038847941536366195,0.85999,1.0126,0.936295,1.9136075676297561,4,4
RPUSD3,0.028296,0.01101,0.0028269002098848224,0.032809172004510376,0.65873,1.2012,0.929965,1.9052297743645794,3,3
EP400,0.089357,1.1555e-5,1.5264269687384968e-5,0.0024377084032224487,0.3006,1.5512,0.9259,1.8998690722965879,2,4
ACTB,9.3746e-4,0.011905,1.3842468882219349e-4,0.0064466355080050105,0.90767,0.93629,0.92198,1.894713874704866,4,3
PET117,0.45027,9.1384e-4,0.0036192342376815062,0.03635435709708893,0.24375,1.5925,0.918125,1.8896578012738594,2,3
ABCB6,0.027962,0.0053806,0.001474713380858144,0.02357208890839875,0.67593,1.1346,0.905265,1.8728884829288985,3,3
USP17L24,0.064791,0.015653,0.008005562534145586,0.053261497676152264,0.67633,1.1224,0.899365,1.8652448177361356,3,3
GTF2F2,0.0015563,0.096687,0.001474903859565221,0.02357208890839875,1.435,0.35911,0.897055,1.862260633446113,4,2
SNRNP35,0.013881,0.0085881,0.0011962403107383926,0.021368457057573478,0.75397,1.0343,0.894135,1.8584952488154933,3,3
CLVS2,0.15927,0.0010001,0.0015522110445439167,0.023688639356911616,0.26898,1.5192,0.89409,1.858437280236184,2,3
ACTR2,0.007238,0.011068,8.357180570124363e-4,0.01831755394902989,0.9409,0.84643,0.8936649999999999,1.8578898883791126,3,2
LIPT2,0.0019548,0.018664,4.09304699828193e-4,0.012130302922180992,0.81984,0.94,0.87992,1.8402732520030836,3,2
SYNCRIP,0.015302,0.0056872,9.006541449616771e-4,0.018672629733114014,0.69725,1.0584,0.8778250000000001,1.837602850822294,4,3
USP38,0.075852,0.0041337,0.002843126101617847,0.032809172004510376,0.57836,1.1707,0.87453,1.8334107020812298,3,3
TSR1,4.0903e-4,0.060497,2.872133539773625e-4,0.010545259884115978,1.1452,0.59931,0.872255,1.8305218570348163,4,2
YBEY,0.0089327,0.0028961,2.9911989561782207e-4,0.010545259884115978,0.55168,1.1831,0.86739,1.8243594387307758,2,3
TERF1,0.025712,4.2187e-4,1.348471922403378e-4,0.0064466355080050105,-0.0088407,1.7431,0.8671296500000001,1.8240302429464534,2,3
CLK3,5.8877e-4,0.0014587,1.2854828260355757e-5,0.0024377084032224487,0.84972,0.88365,0.866685,1.8234681490523188,4,4
DDX28,1.9694e-4,0.0038205,1.1361369006136447e-5,0.0024377084032224487,0.88229,0.85103,0.86666,1.8234365510309367,4,3
GSS,0.16114,6.8377e-4,0.0011143184654654836,0.020758161128099868,0.38098,1.3508,0.86589,1.8224636000710523,3,3
IGLC7,0.034183,0.0051289,0.0016916550226214104,0.024510201661092437,0.62531,1.0903,0.857805,1.812278905656757,3,3
SCAP,0.12628,0.0047258,0.005027207689683531,0.04202230017530337,0.49031,1.2221,0.856205,1.810270138137732,3,3
STRIP1,0.053848,9.9498e-4,5.804808670861563e-4,0.01573111073587498,0.4171,1.294,0.85555,1.809448441395984,2,2
B3GNT9,0.032478,0.0029264,9.75259173343441e-4,0.019268757000603744,0.4826,1.2176,0.8501,1.8026258693952728,4,3
SENP7,0.025723,0.0011619,3.41258133305385e-4,0.011125015145755552,0.69949,0.99676,0.848125,1.8001598247936381,4,4
MCOLN1,0.028279,0.017847,0.004336117868623166,0.0383505938449218,0.84957,0.84521,0.8473900000000001,1.79924294322744,3,2
HDAC3,0.3783,9.2668e-4,0.0031396321047888706,0.033558034956103995,0.04652,1.647,0.84676,1.7984574164437688,2,3
MRRF,0.014962,0.01616,0.0022552479778670752,0.02970548851655218,0.73596,0.94842,0.84219,1.7927694876842766,3,2
IL21R,0.038517,1.9489e-4,9.6082179577182e-5,0.005220465090360222,0.57691,1.1055,0.841205,1.7915458921176823,4,4
MTIF2,0.016975,0.015181,0.002387238345375513,0.03051920394480068,0.72879,0.95356,0.841175,1.7915086383555,3,2
RPL26,0.047728,0.0032854,0.0015305013923859335,0.023688639356911616,0.7561,0.90208,0.82909,1.7765644160834293,3,2
THOC5,0.042277,0.014604,0.005180080299385673,0.04221765443999324,0.79154,0.86008,0.8258099999999999,1.7725299444320126,3,3
LY75,0.029722,0.01131,0.00302470847219738,0.033558034956103995,0.74443,0.90596,0.825195,1.771774501618551,3,3
COX11,0.032098,0.014976,0.004153373745524866,0.03787412142772325,0.57104,1.0747,0.82287,1.7689214675007308,4,3
RPL10A,0.015121,0.022563,0.0030648152474523696,0.033558034956103995,0.78565,0.8593,0.822475,1.7684372152397354,4,3
MDH2,0.025183,0.03605,0.007266803075910198,0.05040378303716435,0.76972,0.8736,0.8216600000000001,1.767438480741483,4,3
MTF2,1.574e-4,0.17272,3.129885554282469e-4,0.010559490834059198,1.1229,0.51775,0.820325,1.7658037353905005,4,2
LSM11,0.2316,4.3522e-4,0.0010283710691180062,0.020014863792983284,0.16106,1.4771,0.81908,1.7642805601695906,2,3
GTPBP8,0.0043818,0.028641,0.0012528844210687646,0.021783483800982256,0.87026,0.76009,0.815175,1.7595115689853402,3,3
PSMG1,0.12851,0.0089574,0.008940741316879736,0.055799632428400865,0.37395,1.2548,0.814375,1.7585361590648247,3,3
CDH19,0.33832,0.0035385,0.009251318107292909,0.05690433401844317,0.30684,1.3219,0.81437,1.7585300644534834,2,3
MRPS16,0.010656,0.022132,0.002205648102720719,0.0293486237341614,0.74502,0.88207,0.813545,1.7575247427968888,3,3
PPM1D,0.28274,0.0013981,0.0034928082167469065,0.035863164682188704,0.25849,1.3605,0.8094950000000001,1.7525978570758378,2,3
SAE1,0.085876,0.0061386,0.004506155106121599,0.03943641784149373,0.56868,1.0478,0.8082400000000001,1.751073935630924,3,3
ASH2L,0.056361,0.0026285,0.001454385745174501,0.02357208890839875,0.53399,1.076,0.804995,1.747139736697983,3,2
DUX4,0.0026167,0.033904,9.164480850608104e-4,0.018672629733114014,0.53353,1.0739,0.803715,1.7455903121686915,2,2
RFC4,0.006479,0.094824,0.005157543603388519,0.04221765443999324,0.83141,0.77465,0.8030299999999999,1.7447616924637317,4,2
PSMD11,0.013774,0.02431,0.0030142295807197746,0.033558034956103995,0.74213,0.84846,0.795295,1.7354321964567012,4,3
UNC13A,0.21824,2.9015e-5,8.212816760479344e-5,0.005122692649866469,0.31538,1.2729,0.79414,1.7340433914852875,2,4
RCOR3,0.28162,0.0011105,0.0028365870886325173,0.032809172004510376,0.20521,1.3818,0.7935049999999999,1.7332803229015994,2,3
VARS,0.0015265,0.052974,8.428322369185532e-4,0.01831755394902989,1.1948,0.38528,0.7900400000000001,1.7291224034038775,3,2
STARD3NL,0.038836,0.0089024,0.003101175824587062,0.033558034956103995,0.51424,1.0654,0.78982,1.7288587455171698,2,3
TUBGCP2,0.27122,2.8476e-4,8.085241313063286e-4,0.018177852883162975,0.16176,1.3982,0.77998,1.717107068552043,2,4
TRIM28,0.14783,1.3275e-4,2.3232846005152768e-4,0.009772784255070712,0.10206,1.4536,0.77783,1.7145500273265804,2,2
RPL5,0.52709,0.0010931,0.00487382505858744,0.04126927192466248,0.10265,1.4465,0.7745749999999999,1.710686030320222,2,2
MRPS5,0.0014356,0.2097,0.0027419959575474954,0.032809172004510376,1.0351,0.51296,0.77403,1.7100399146945964,4,2
CD68,0.31727,0.0018603,0.004978495204470207,0.04188359836534935,0.26049,1.2825,0.771495,1.707037793831603,2,3
ATP6V0C,0.024783,0.020288,0.004321706973331461,0.0383505938449218,0.56474,0.96939,0.767065,1.7018041313336565,4,2
RTEL1,0.015388,0.0021556,3.752847372716937e-4,0.011442487051680942,0.7557,0.77135,0.763525,1.697633463691703,3,4
MPV17L2,0.009397,0.012574,0.0011867173336122675,0.021368457057573478,0.63818,0.88594,0.76206,1.6959104587328435,2,3
