Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
CDC16,0.20042,0.20808,0.1742022802539968,0.11277,0.18246,0.147615,1.107736695959072,3,3
ARSI,0.5216,0.20082,0.34107955877694374,-0.3023,0.59638,0.14704,1.1072952848028745,2,2
ZBTB21,0.10819,0.18543,0.09848162623036609,0.1107,0.18151,0.146105,1.1065778874025607,2,2
LZIC,0.099139,0.069412,0.04114361121871166,-0.021405,0.31282,0.1457075,1.1062730384176682,2,2
MPC1,0.39555,0.089032,0.1530597406029849,-0.056979,0.34079,0.1419055,1.1033614648414227,2,2
NME5,0.42135,0.10603,0.18354244563185457,0.028961,0.25299,0.1409755,1.1026504375833865,2,2
ARV1,0.35411,0.15125,0.21032506522330635,-0.12425,0.40567,0.14071,1.102447534858473,2,2
BRD4,0.18712,0.08135,0.07892716316191437,-0.14895,0.42662,0.138835,1.101015668522309,2,2
MOAP1,0.45531,0.075379,0.15005070651832011,-0.074213,0.34886,0.1373235,1.0998627473134046,2,2
DUSP10,0.51283,0.17616,0.3075334841449237,-0.14483,0.41757,0.13637,1.0991360707680187,2,2
SREBF1,0.28024,0.14747,0.17300468611369277,0.16539,0.10004,0.132715,1.0963549856143266,2,2
SUB1,0.13104,0.10032,0.07008941876397583,0.13985,0.12545,0.13265,1.096305590928197,2,2
TFB2M,0.1415,0.043009,0.03713418153479742,0.23179,0.029015,0.1304025,1.0945990427566143,2,2
CCL18,0.10774,0.048458,0.03265699142438844,0.088321,0.16644,0.1273805,1.0923085959607166,2,2
POLR2M,0.10217,0.12349,0.0677873674387272,0.14078,0.11199,0.126385,1.0915551324103077,2,2
RYR2,0.41851,0.18562,0.27617440755355194,0.046454,0.2029,0.124677,1.0902636099917986,2,2
PRTFDC1,0.15168,0.084355,0.0685644304035028,0.139,0.10865,0.123825,1.0896199324745257,2,2
SRSF2,0.23092,0.0069458,0.011925660444376733,0.22812,0.018361,0.12324049999999999,1.0891785683365025,2,2
CNOT4,0.24016,0.085389,0.10021756961756133,-0.041348,0.28771,0.12318100000000001,1.0891336490800954,2,2
GPX4,0.49823,0.10174,0.20184869173138995,-0.15844,0.40136,0.12146,1.087835189315417,2,2
COMMD3-BMI1,0.52875,0.096806,0.20332610882806382,-0.14782,0.38929,0.12073500000000001,1.0872886549789038,2,2
PPIL3,0.085098,0.015884,0.010281538112730481,0.20538,0.03205,0.118715,1.085767345111382,2,2
